,ratings,reviews,Whistleblower,sentiment
356,5,True to size and free shipping. Actually shipped by dicks sporting goods so it’s the real thing. These are not fake. My son has been looking for this color for months. Thank you!,0,1
357,5,Product was just as expected,0,1
358,5,Granddaughter loved them. Saved $24.00 too. She saw them in the store we came home and checked Amazon and saved$$$,0,1
359,5,The Air Max 90 is the most comfortable shoe I have ever owned. These were perfect and did not disappoint.,0,1
360,5,Nothing needs to be said if when you keep the product!,0,1
361,5,I love these shoes. Love the look and the comfort. I’ve been buying air maxes for 10 years.,0,1
362,3,"Maybe I have wide feet but these were a bear to break in, after that it has been pretty smooth sailing. They also aren't very good on slick surfaces.",0,0
363,5,very comfortable n I like it....,0,1
364,4,"My husband loves Nike Air Max. These are a very ""hip"" looking shoe!",0,1
365,5,I love the nike air max these were a little different love them and they are comfortable.,0,1
366,5,"These are the shoes I seen in my local mall but not the colors, so i really like that. The wear nice and comfortably. The price was comparable to the shoe store.",0,1
367,5,"Runs a little bit small.Good quality, Thanks!",0,1
368,1,Came with ink on one of the shoes. I don't think they were brand new. One of the soles was dirty,0,0
369,5,"I love Nike Air Max 90's. They are true to size, extremely comfortable, and durable. These shoes are the real deal and came brand new.",0,1
370,1,"When you want to returned it, you need to pay the returned fee, that is not fair to the buyer",0,0
371,5,"Looks awesome, got a lot of compliments, no issues.",0,1
372,5,Really comfortable.. I like them!,0,1
373,5,Great fit true to size,0,1
374,5,"I get a lot of compliments whenever I wear them, looks really great and is super comfortable!!!",0,1
375,2,My soles are coming unglued and my shoes are brand new waste off 100.00$they or nike will not return.,0,0
376,3,Bought them as my hospital clinical shoes and only my right shoe makes a horrible squeak every step I take. It is very annoying and my patients tell me all the time that they can hear me coming before they can see me. They look great but I am disappointed...,0,0
377,5,Awesome shoe. Great design and comfortable,0,1
378,1,"Product runs smaller than normal Nike products. Sole had no grip, very slick.",0,0
379,5,"I love my shoes, and there's nothing better than shopping for them without leaving the house!",0,1
380,3,so so,0,0
381,5,They were alot better than i expected... they have a sleek design and they are well built they should last me a long time.,0,1
382,4,"Out of six pair this same shoes, first 3 perfect.Pair 4 one shoe right size other shoe, size smaller.Pair 5 perfect!Pair 6 kinda tight, hoping they loosen up quicklyNike control issue amazon gets 5 stars across the board!!",0,1
383,5,Love everything about this shoes ❤❤❤,0,1
384,1,im trying to get a hold of this seller.because the size hat provided wasnt accurate..i need to get u happy me happy seller,0,0
385,5,Good Quality Nice Grip Look Good With any outfit Good 2 Keep Orginals Around,0,1
386,5,Every,0,1
387,5,The product was in great shape.,0,1
388,5,Had an all white pair years ago !!! I love these colors,0,1
389,5,Love um . . fit perfect . nice and clean,0,1
390,5,I love them. I been looking for these for months in my size. Now I finally got them..,0,1
391,5,for fun,0,1
392,5,Great shoes that are comfortable and can be worn all day.,0,1
393,5,the fit very well,0,1
394,5,Loved it,0,1
395,5,These Nike sneakers offer incredible support and I must admit the best ones I've ever bought. I received my first pair from another seller and I hope the latest ones I ordered are of the same quality.,0,1
396,5,"Love these air max! Fit perfect, arrived quick.",0,1
397,2,very narrow.........have to return......,0,0
398,5,Product was as advertised! :),0,1
399,5,Good shoes comfortable,0,1
400,5,Nice,0,1
401,1,The product was to small it's a size 8 & I'm a size 12 so I never worn the shoes do I need to return this item,0,0
402,2,Not buying that no weonder it sells for less,0,0
403,5,These shoes fit perfect and are stunning!,0,1
404,5,He love it my husband,0,1
405,4,Great shoe,0,1
406,5,Arrived Fast and My hubby loved them!!!!!,0,1
